City_ID,City,Country,Max Temp,Current Conditions,Lat,Lng,Hotel Name
419,Rosetta,EG,75.2,scattered clouds,31.4,30.42,Green Valley
420,Batouri,CM,77.9,light rain,4.43,14.37,Hotel Hollywood
423,Sinnamary,GF,86.79,overcast clouds,5.38,-52.95,ALETHEIA Appartement Sinnamary
428,Dicabisagan,PH,76.57,light rain,17.08,122.42,Nancy Montanes Bernardo
430,Makokou,GA,78.8,thunderstorm with light rain,0.57,12.86,WAMY RESIDENCE HOTEL
431,Sao Miguel Do Iguacu,BR,80.6,scattered clouds,-25.35,-54.24,Hotel Itaguaçu
440,Ranot,TH,81.63,light rain,7.78,100.32,Pakbanglake resort ปากบางเลค รีสอร์ท
441,Itaituba,BR,87.8,scattered clouds,-4.28,-55.98,Hotel Campos
442,Ambunti,PG,73.24,broken clouds,-4.24,142.84,Ambunti Lodge
449,Meulaboh,ID,78.53,moderate rain,4.14,96.13,Kost Pria
451,Nairobi,KE,71.6,few clouds,-1.28,36.82,Hilton Nairobi
455,Sao Jose Da Coroa Grande,BR,83.37,overcast clouds,-8.9,-35.15,Crôa Mares Hotel
456,San Vicente,AR,70.3,moderate rain,-26.62,-54.13,Complejo Turístico Farelluk
457,Puerto Colombia,CO,86.0,broken clouds,10.99,-74.95,Hotel El Emigrante
462,Ponta Do Sol,PT,78.01,few clouds,32.67,-17.1,Hotel do Campo
468,Funtua,NG,86.97,clear sky,11.52,7.31,Elbintu Restaurant And Motel
472,Mocuba,MZ,79.52,light rain,-16.84,36.99,Phama Lodge
476,Abaete,BR,75.69,overcast clouds,-19.16,-45.45,Hotel Millenium
478,Tura,IN,73.2,moderate rain,25.52,90.22,Hotel RIKMAN Continental
483,Arlit,NE,89.4,clear sky,18.74,7.39,Hôtel Telwa Bungalow
487,Makaha,US,71.6,clear sky,21.47,-158.22,Hawaiian Princess Resort
489,Hervey Bay,AU,75.99,light rain,-25.3,152.85,Shelly Bay Resort
494,Kutum,SD,82.31,clear sky,14.2,24.67,Dibbo areaمنطقة دبو
502,Rani,IN,71.62,clear sky,25.35,73.31,rani station
504,Karratha,AU,71.1,light rain,-20.74,116.85,ibis Styles Karratha
505,Alofi,NU,73.4,overcast clouds,-19.06,-169.92,Taloa Heights
506,Tevaitoa,PF,79.2,clear sky,-16.78,-151.5,Hôtel Raiatea Lodge
508,Banda Aceh,ID,80.69,light rain,5.56,95.32,OYO 884 Rumoh PMI Hotel
509,Namanyere,TZ,71.8,scattered clouds,-7.52,31.05,Manyovu Lodge
511,Santa Fe,AR,78.01,clear sky,-31.63,-60.7,Conquistador Hotel
518,Pangai,TO,76.64,light rain,-19.8,-174.35,Ha'apai Beach Resort
519,Katherine,AU,86.0,clear sky,-14.47,132.27,Pine Tree Motel
524,Cabral,DO,86.0,broken clouds,18.25,-71.22,Hotel Nueva York
528,Qiongshan,CN,71.6,light rain,20.01,110.35,Sun City Restaurant
532,Amahai,ID,82.99,broken clouds,-3.33,128.92,Peternakan Ayam Bangkok Manisso
534,Teguise,ES,77.0,clear sky,29.06,-13.56,B&B La Casona de Nazaret
535,Ribeira Brava,PT,78.01,few clouds,32.65,-17.07,Hotel do Campo
537,Kawalu,ID,73.06,moderate rain,-7.38,108.21,KOSAN UNGU UNSIK
542,Lazaro Cardenas,MX,80.49,overcast clouds,17.96,-102.2,Collection O Hotel Quinta Antigua
543,Balsas,BR,85.84,moderate rain,-7.53,-46.04,Novo Hotel
544,Arrecife,ES,77.0,clear sky,28.96,-13.55,Hotel Lancelot
545,Antalaha,MG,70.9,broken clouds,-14.9,50.28,Hotel Vitasoa
546,Mbanza-Ngungu,CD,81.03,light rain,-5.25,14.87,Hotel Full Business
553,Kota Kinabalu,MY,77.0,few clouds,5.97,116.07,Gaya Centre Hotel
558,Jardim,BR,81.75,broken clouds,-21.48,-56.14,Hotel Estância
567,Marsa Matruh,EG,71.6,scattered clouds,31.35,27.25,Beau Site
568,Puerto Leguizamo,CO,88.03,overcast clouds,-0.19,-74.78,la casona de juancho
574,Los Llanos De Aridane,ES,78.8,clear sky,28.66,-17.92,Valle Aridane
577,Shahpura,IN,73.4,haze,27.38,75.97,Shahpura Haveli
579,Tocopilla,CL,70.2,scattered clouds,-22.09,-70.2,Hotel Galvarino
581,Rockport,US,71.6,clear sky,28.02,-97.05,Holiday Inn Express & Suites Rockport - Bay View
584,Louis Trichardt,ZA,73.8,scattered clouds,-23.04,29.9,139 on Munnik Guest House
585,Pala,TD,89.55,broken clouds,9.36,14.9,Nectar Hôtel
589,Garowe,SO,83.98,clear sky,8.41,48.48,Curubo Hotel
591,Beaufort,MY,77.0,few clouds,5.35,115.75,The Gem Hotel Beaufort
593,Hurghada,EG,80.6,clear sky,27.26,33.81,Sea Star Beau Rivage Hotel
594,Colon,PA,86.0,scattered clouds,9.36,-79.9,Sand Diamond Hotel
596,San Ignacio,BZ,79.0,overcast clouds,17.16,-89.07,Rainforest Haven Inn
600,Marang,MY,80.6,few clouds,5.21,103.21,DBarakah Homestay
601,Sambava,MG,73.13,broken clouds,-14.27,50.17,Melrose
603,Baixo Guandu,BR,71.83,light rain,-19.52,-41.02,Hotel e Restaurante Barbosa
605,Robertsport,LR,81.72,light rain,6.75,-11.37,Kwepunha Retreat
607,Gorontalo,ID,77.45,overcast clouds,0.54,123.06,Maqna Hotel by Prasanthi
608,Loandjili,CG,82.4,few clouds,-4.76,11.86,Résidence ARCHANGE
611,Erzin,TR,75.0,broken clouds,36.96,36.2,Artemis Otel
614,Carmen,MX,75.2,overcast clouds,18.63,-91.83,Hotel Lossandes
619,Saint-Georges,GD,86.0,broken clouds,12.06,-61.75,Siesta Hotel
620,Touros,BR,86.0,broken clouds,-5.2,-35.46,INN NEW HORIZON
622,Sibu,MY,77.0,scattered clouds,2.3,111.82,RH HOTEL (4 Star)
623,Susa,TN,72.0,clear sky,35.83,10.64,Hotel Riadh Palms
625,Kapoeta,SS,85.96,few clouds,4.77,33.59,Eastgate Hotel
629,Kokopo,PG,77.68,overcast clouds,-4.35,152.26,Kokopo Beach Bungalow Resort
630,Lucapa,AO,77.2,light rain,-8.42,20.74,Residência Ulisses Dos Santos
631,Pasni,PK,77.43,clear sky,25.26,63.47,3G hotel pasni
635,Nouadhibou,MR,73.4,clear sky,20.93,-17.03,El Medina
636,Morondava,MG,80.56,few clouds,-20.28,44.28,La Case Bambou
643,Bathsheba,BB,84.2,shower rain,13.22,-59.52,Atlantis Hotel
644,Cabedelo,BR,86.0,scattered clouds,-6.98,-34.83,Lua Mansa Pousada
